INCIDENT_AREA,EXACT_LOCATION,CRIME,WEAPON
Southwest,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
77th Street,SINGLE FAMILY DWELLING,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",
Hollywood,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
77th Street,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Pacific,SINGLE FAMILY DWELLING,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",
Central,OFFICE BUILDING/OFFICE,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",
Wilshire,GARAGE/CARPORT,THEFT PLAIN - PETTY ($950 & UNDER),
Wilshire,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","BUNCO, GRAND THEFT",
Wilshire,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Van Nuys,PUBLIC STORAGE,BURGLARY,
West Valley,STREET,BURGLARY FROM VEHICLE,
West Valley,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Devonshire,AUTOMATED TELLER MACHINE (ATM),THEFT OF IDENTITY,
Hollenbeck,SINGLE FAMILY DWELLING,"RAPE, FORCIBLE","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
77th Street,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Hollywood,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Northeast,OTHER BUSINESS,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
77th Street,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Van Nuys,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Olympic,BANK,THEFT OF IDENTITY,
Olympic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Olympic,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
77th Street,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Wilshire,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Newton,STREET,THEFT OF IDENTITY,
Devonshire,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Northeast,STREET,VEHICLE - STOLEN,
Hollenbeck,SINGLE FAMILY DWELLING,OTHER MISCELLANEOUS CRIME,VERBAL THREAT
Northeast,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",THEFT OF IDENTITY,
Mission,SKATING RINK*,CHILD ANNOYING (17YRS & UNDER),
Southeast,SINGLE FAMILY DWELLING,ORAL COPULATION,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Foothill,OTHER BUSINESS,DOCUMENT FORGERY / STOLEN FELONY,
Devonshire,SINGLE FAMILY DWELLING,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Newton,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
77th Street,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Mission,SINGLE FAMILY DWELLING,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,BELT FLAILING INSTRUMENT/CHAIN
Newton,BUS STOP,ROBBERY,HAND GUN
Harbor,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Newton,CYBERSPACE,THEFT OF IDENTITY,
Northeast,JUNIOR HIGH SCHOOL,BATTERY WITH SEXUAL CONTACT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Harbor,SINGLE FAMILY DWELLING,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",
Pacific,OTHER/OUTSIDE,THEFT OF IDENTITY,
N Hollywood,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",OTHER MISCELLANEOUS CRIME,VERBAL THREAT
77th Street,SINGLE FAMILY DWELLING,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Hollywood,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Harbor,ALLEY,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN FIREARM
Rampart,"VEHICLE, PASSENGER/TRUCK",THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
Newton,AUTOMATED TELLER MACHINE (ATM),THEFT OF IDENTITY,
Hollenbeck,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Newton,ABANDONED BUILDING ABANDONED HOUSE,THEFT OF IDENTITY,
Pacific,TRANSPORTATION FACILITY (AIRPORT),INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Hollenbeck,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Devonshire,SINGLE FAMILY DWELLING,THEFT PLAIN - PETTY ($950 & UNDER),
Southeast,POLICE FACILITY,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,
Hollywood,SIDEWALK,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
N Hollywood,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Mission,SINGLE FAMILY DWELLING,BURGLARY,
Olympic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Southeast,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Wilshire,SINGLE FAMILY DWELLING,"BUNCO, GRAND THEFT",
Foothill,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
West LA,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Hollywood,SINGLE FAMILY DWELLING,DOCUMENT FORGERY / STOLEN FELONY,
West Valley,OTHER BUSINESS,THEFT OF IDENTITY,
77th Street,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
77th Street,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Newton,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THREATENING PHONE CALLS/LETTERS,VERBAL THREAT
Harbor,STREET,VEHICLE - STOLEN,
Wilshire,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Devonshire,SINGLE FAMILY DWELLING,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
77th Street,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Southwest,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Harbor,SINGLE FAMILY DWELLING,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Northeast,"VEHICLE, PASSENGER/TRUCK",BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
77th Street,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
77th Street,STREET,VEHICLE - STOLEN,
Southeast,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Hollenbeck,PUBLIC STORAGE,BURGLARY,
Wilshire,ALLEY,"RAPE, FORCIBLE","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
N Hollywood,SINGLE FAMILY DWELLING,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",KNIFE WITH BLADE 6INCHES OR LESS
Olympic,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
